drug_name,num_prescriber,total_cost
CAPSAICIN,13744,6783020
JENCYCLA,13617,6708210
GLIPIZIDE,13608,6680765
COLD SORES,13474,6678345
ALEGRIA,13460,6675750
SIMBRINZA,13580,6671250
N-7,13523,6661765
TERPENICOL,13470,6656625
MANTECA MASLAC,13375,6647775
MONOKET,13460,6643375
EYE CARE,13454,6640245
AGARICINUM,13459,6633770
GAMMAKED,13451,6631555
UMCKA COLDCARE,13446,6631180
GRANATUM,13433,6630490
CATTLE HAIR,13448,6629790
ANXIETY/STRESS,13376,6627930
S.T.37,13386,6626555
MUSKEL,13439,6623770
DECITABINE,13389,6622520
KALI SILICATUM,13482,6619785
PERPHENAZINE,13490,6619325
TRIVAL,13424,6614445
CINVANTI,13359,6614395
TEETHING,13386,6612980
BELLA HP,13304,6606095
SULFACLEAR,13410,6600550
PUBLIX SPORT,13314,6595920
PC-TAR,13317,6595810
SENSODYNE,13336,6592205
KALI SULPH,13181,6590130
BENZNIDAZOLE,13374,6589870
AURORA,13349,6587395
LAKE TROUT,13300,6585125
VISCOSE WIPES,13395,6583750
GREEN ASH,13302,6580360
AVEENO BABY,13301,6580205
GLUCAGON,13311,6578555
ISOPLATE,13420,6575600
GONITRO,13395,6572975
RITONAVIR,13382,6569810
IMODIUM,13296,6567630
URICALM,13359,6566520
MENS ALOPEXY,13277,6565435
WITCH HAZEL,13365,6563025
POLLEN WEEDS,13345,6562050
DICLOZOR,13286,6560405
DILAUDID,13363,6558890
HEARTBURN,13214,6555720
C MOLD MIXTURE,13322,6555585
ADENOSINE,13314,6549320
D-ACNE,13272,6546785
ROCK WATER,13283,6543740
VORAXAZE,13267,6541935
CS BONE,13230,6532375
EEMT,13300,6530300
NIFEDIPINE,13322,6527460
DYNA-HEX 2,13282,6526110
ASTHMA THERAPY,13149,6522220
DAPTOMYCIN,13310,6514850
TOPSANI,13211,6513305
FEMALE CARE,13114,6511995
AZTREONAM,13255,6510650
SENNA-LAX,13193,6510640
ZOSTRIX HP,13072,6484710
ICY COOL,13188,6478915
REACT,13212,6470560
METALSTAT,13232,6461885
COMMON COLD,13217,6460485
SYMBICORT,13207,6451460
MEPHYTON,13168,6447490
REAL SUMMER,13101,6443505
CITROMA,12964,6420970
ADENOSCAN,13066,6419105
ACETA-GESIC,13120,6404750
